vertex_id,start,end,Year
ANE01,0,3.5,1
ANE03,0,3.5,1
BME01,0,3.5,1
CE04,0,3.5,1
CE13,0,3.5,1
CHE03,0,3.5,1
CHE12,0,3.5,1
CHE18,0,3.5,1
CHE25,0,3.5,1
CHI03,0,3.5,1
ILPB01,0,3.5,1
ILPB02,0,3.5,1
ILPB04,0,3.5,1
ILPB05,0,3.5,1
ILPB06,0,3.5,1
MDC16,0,3.5,1
MDC24,0,3.5,1
MDC25,0,3.5,1
MDC33,0,3.5,1
MDC41,0,3.5,1
PAS02,0,3.5,1
EE24,1.17,3.5,2
CSE32,1.17,3.5,2
PHA10,1.17,3.5,2
PHA14,1.17,3.5,2
EE05,1.17,3.5,2
EE06,1.17,3.5,2
EE09,1.17,3.5,2
EE11,1.17,3.5,2
DO02,1.17,3.5,2
EE14,1.17,3.5,2
ANE02,1.17,3.5,2
ILPB03,1.17,3.5,2
PB05,1.17,3.5,2
PHA19,2.37,3.5,3
MDC18,2.37,3.5,3
,3.02,3.5,
